subject,survey,order,judgment,item,condition,zscores,dependency,island,structure,distance,sent,tree,score
A1159C6RKPZURE,3.3,22,1,RC.adj.isl.lg.04,RC.adj.isl.lg,-2.144489822,RC,ADJ,island,long,I met the famous artist who the parents blush if the child prodigy imitates.,(C-mat-decl (T-past (lv-tr (I) (meet (the (famous_artist (C-rel (T-pres (lv-tr (the (parents)) (blush (if (T-pres (lv-tr (the (child_prodigy)) (imitate (who))))))))))))))),0.03793531736338465
A1159C6RKPZURE,3.3,53,3,RC.adj.isl.lg.08,RC.adj.isl.lg,-0.865787816,RC,ADJ,island,long,I emailed the congressman who the teacher smiles if her students write letters to.,(C-mat-decl (T-past (lv-tr (I) (email (the (congressman (C-rel (T-pres (lv-tr (the (teacher)) (smile (if (T-pres (lv-tr (her (students)) (write-dobj-pobj (D-e (letters)) (to (who)))))))))))))))),0.3180942783488293
A13E3C65NKK51I,3.3,22,5,RC.adj.isl.lg.04,RC.adj.isl.lg,-0.086455507,RC,ADJ,island,long,I met the famous artist who the parents blush if the child prodigy imitates.,(C-mat-decl (T-past (lv-tr (I) (meet (the (famous_artist (C-rel (T-pres (lv-tr (the (parents)) (blush (if (T-pres (lv-tr (the (child_prodigy)) (imitate (who))))))))))))))),0.48884315410513074
A13E3C65NKK51I,3.3,53,5,RC.adj.isl.lg.08,RC.adj.isl.lg,-0.086455507,RC,ADJ,island,long,I emailed the congressman who the teacher smiles if her students write letters to.,(C-mat-decl (T-past (lv-tr (I) (email (the (congressman (C-rel (T-pres (lv-tr (the (teacher)) (smile (if (T-pres (lv-tr (her (students)) (write-dobj-pobj (D-e (letters)) (to (who)))))))))))))))),0.48884315410513074
A1650FELH3UL2F,3.1,17,1,RC.adj.isl.lg.02,RC.adj.isl.lg,-1.149142081,RC,ADJ,island,long,I sympathize with the parents who the reverand sighs if the bride and groom neglect to thank.,(C-mat-decl (T-pres (lv-tr (I) (sympathize (with (the (parents (C-rel (T-pres (lv-tr (the (reverand)) (sigh (if (T-pres (lv-tr (the (bride_and_groom)) (neglect (to-inf (lv-tr (PRO) (thank (who))))))))))))))))))),0.25601238897921624
A1650FELH3UL2F,3.1,29,1,RC.adj.isl.lg.06,RC.adj.isl.lg,-1.149142081,RC,ADJ,island,long,I spoke with the college president who the professor faints if the students publicly criticize.,(C-mat-decl (T-past (lv-tr (I) (speak (with (the (college_president (C-rel (T-pres (lv-tr (the (professor)) (faint (if (T-pres (lv-tr (the (students)) (criticize (publicly) (who)))))))))))))))),0.25601238897921624
A18ACKRAVMM8D8,3.3,22,2,RC.adj.isl.lg.04,RC.adj.isl.lg,-0.730121961,RC,ADJ,island,long,I met the famous artist who the parents blush if the child prodigy imitates.,(C-mat-decl (T-past (lv-tr (I) (meet (the (famous_artist (C-rel (T-pres (lv-tr (the (parents)) (blush (if (T-pres (lv-tr (the (child_prodigy)) (imitate (who))))))))))))))),0.3478181739864826
A18ACKRAVMM8D8,3.3,53,1,RC.adj.isl.lg.08,RC.adj.isl.lg,-1.142426127,RC,ADJ,island,long,I emailed the congressman who the teacher smiles if her students write letters to.,(C-mat-decl (T-past (lv-tr (I) (email (the (congressman (C-rel (T-pres (lv-tr (the (teacher)) (smile (if (T-pres (lv-tr (her (students)) (write-dobj-pobj (D-e (letters)) (to (who)))))))))))))))),0.2574838300857738
A19P3BIPW6UMQ9,3.4,27,2,RC.adj.isl.lg.01,RC.adj.isl.lg,-0.829670688,RC,ADJ,island,long,I called the client who the secretary worries if the lawyer insults.,(C-mat-decl (T-past (lv-tr (I) (call (the (secretary (C-rel (T-pres (lv-tr (the (secretary)) (worry (if (T-pres (lv-tr (the (lawyer)) (insult (who))))))))))))))),0.3260074097952332
A19P3BIPW6UMQ9,3.4,41,2,RC.adj.isl.lg.05,RC.adj.isl.lg,-0.829670688,RC,ADJ,island,long,I served the child who the other customer winks if the young couple play with at the restaurant.,(C-mat-decl (T-past (lv-tr (I) (serve (the (child (C-rel (T-pres (lv-tr (the (other_customer)) (wink (if (T-pres (lv-tr (the (young_couple)) (play (with (who)) (at (the (restaurant))))))))))))))))),0.3260074097952332
A1A7O3TW2O0TPM,3.3,22,3,RC.adj.isl.lg.04,RC.adj.isl.lg,-0.418711992,RC,ADJ,island,long,I met the famous artist who the parents blush if the child prodigy imitates.,(C-mat-decl (T-past (lv-tr (I) (meet (the (famous_artist (C-rel (T-pres (lv-tr (the (parents)) (blush (if (T-pres (lv-tr (the (child_prodigy)) (imitate (who))))))))))))))),0.4160469661101962
A1A7O3TW2O0TPM,3.3,53,1,RC.adj.isl.lg.08,RC.adj.isl.lg,-1.375767973,RC,ADJ,island,long,I emailed the congressman who the teacher smiles if her students write letters to.,(C-mat-decl (T-past (lv-tr (I) (email (the (congressman (C-rel (T-pres (lv-tr (the (teacher)) (smile (if (T-pres (lv-tr (her (students)) (write-dobj-pobj (D-e (letters)) (to (who)))))))))))))))),0.2063594799064204
A1D6R2BC4CW1L3,3.1,17,2,RC.adj.isl.lg.02,RC.adj.isl.lg,-0.749409681,RC,ADJ,island,long,I sympathize with the parents who the reverand sighs if the bride and groom neglect to thank.,(C-mat-decl (T-pres (lv-tr (I) (sympathize (with (the (parents (C-rel (T-pres (lv-tr (the (reverand)) (sigh (if (T-pres (lv-tr (the (bride_and_groom)) (neglect (to-inf (lv-tr (PRO) (thank (who))))))))))))))))))),0.34359230465209284
A1D6R2BC4CW1L3,3.1,29,1,RC.adj.isl.lg.06,RC.adj.isl.lg,-1.193504307,RC,ADJ,island,long,I spoke with the college president who the professor faints if the students publicly criticize.,(C-mat-decl (T-past (lv-tr (I) (speak (with (the (college_president (C-rel (T-pres (lv-tr (the (professor)) (faint (if (T-pres (lv-tr (the (students)) (criticize (publicly) (who)))))))))))))))),0.2462927865348282
A1EWQ6YCM8CO0E,3.1,17,1,RC.adj.isl.lg.02,RC.adj.isl.lg,-1.054496809,RC,ADJ,island,long,I sympathize with the parents who the reverand sighs if the bride and groom neglect to thank.,(C-mat-decl (T-pres (lv-tr (I) (sympathize (with (the (parents (C-rel (T-pres (lv-tr (the (reverand)) (sigh (if (T-pres (lv-tr (the (bride_and_groom)) (neglect (to-inf (lv-tr (PRO) (thank (who))))))))))))))))))),0.27674882400574013
A1EWQ6YCM8CO0E,3.1,29,1,RC.adj.isl.lg.06,RC.adj.isl.lg,-1.054496809,RC,ADJ,island,long,I spoke with the college president who the professor faints if the students publicly criticize.,(C-mat-decl (T-past (lv-tr (I) (speak (with (the (college_president (C-rel (T-pres (lv-tr (the (professor)) (faint (if (T-pres (lv-tr (the (students)) (criticize (publicly) (who)))))))))))))))),0.27674882400574013
A1NK6UXWXKFMC7,3.3,22,3,RC.adj.isl.lg.04,RC.adj.isl.lg,-1.016349858,RC,ADJ,island,long,I met the famous artist who the parents blush if the child prodigy imitates.,(C-mat-decl (T-past (lv-tr (I) (meet (the (famous_artist (C-rel (T-pres (lv-tr (the (parents)) (blush (if (T-pres (lv-tr (the (child_prodigy)) (imitate (who))))))))))))))),0.2851066822923272
A1NK6UXWXKFMC7,3.3,53,3,RC.adj.isl.lg.08,RC.adj.isl.lg,-1.016349858,RC,ADJ,island,long,I emailed the congressman who the teacher smiles if her students write letters to.,(C-mat-decl (T-past (lv-tr (I) (email (the (congressman (C-rel (T-pres (lv-tr (the (teacher)) (smile (if (T-pres (lv-tr (her (students)) (write-dobj-pobj (D-e (letters)) (to (who)))))))))))))))),0.2851066822923272
A1PV8FC3TVZ4Y4,3.1,17,2,RC.adj.isl.lg.02,RC.adj.isl.lg,-1.411803128,RC,ADJ,island,long,I sympathize with the parents who the reverand sighs if the bride and groom neglect to thank.,(C-mat-decl (T-pres (lv-tr (I) (sympathize (with (the (parents (C-rel (T-pres (lv-tr (the (reverand)) (sigh (if (T-pres (lv-tr (the (bride_and_groom)) (neglect (to-inf (lv-tr (PRO) (thank (who))))))))))))))))))),0.198464308446316
