id,sent,tree,notes,
WH.whe.non.sh.01,Who thinks that Paul stole the necklace?,(C-mat-wh (T-pres (lv-tr (who) (think (that (T-past (lv-tr (D-e (Paul)) (steal (the (necklace)))))))))),"wh-movement, whether island, non-island, short",
WH.whe.non.sh.02,Who thinks that Matt chased the bus?,(C-mat-wh (T-pres (lv-tr (who) (think (that (T-past (lv-tr (D-e (Matt)) (chase (the (bus)))))))))),,
WH.whe.non.sh.03,Who thinks that Tom sold the television?,(C-mat-wh (T-pres (lv-tr (who) (think (that (T-past (lv-tr (D-e (Tom)) (sell (the (television)))))))))),,
WH.whe.non.sh.04,Who thinks that Stacey wrote the letter?,(C-mat-wh (T-pres (lv-tr (who) (think (that (T-past (lv-tr (D-e (Stacey)) (write (the (letter)))))))))),,
WH.whe.non.sh.05,Who thinks that Aaron bought the house?,(C-mat-wh (T-pres (lv-tr (who) (think (that (T-past (lv-tr (D-e (Aaron)) (buy (the (house)))))))))),,
WH.whe.non.sh.06,Who thinks that George read the book?,(C-mat-wh (T-pres (lv-tr (who) (think (that (T-past (lv-tr (D-e (George)) (read (the (book)))))))))),,
WH.whe.non.sh.07,Who thinks that Heather saw the movie?,(C-mat-wh (T-pres (lv-tr (who) (think (that (T-past (lv-tr (D-e (Heather)) (see (the (movie)))))))))),,
WH.whe.non.sh.08,Who thinks that Casey baked the cake?,(C-mat-wh (T-pres (lv-tr (who) (think (that (T-past (lv-tr (D-e (Casey)) (bake (the (cake)))))))))),,
WH.whe.non.lg.01,What does the detective think that Paul stole?,(C-mat-wh (T-pres (lv-tr (the (detective)) (think (that (T-past (lv-tr (D-e (Paul)) (steal (what))))))))),"wh-movement, whether island, non-island, long",
WH.whe.non.lg.02,What does the police officer think that Matt chased?,(C-mat-wh (T-pres (lv-tr (the (police_officer)) (think (that (T-past (lv-tr (D-e (Matt)) (chase (what))))))))),,
WH.whe.non.lg.03,What does the manager think that Tom sold?,(C-mat-wh (T-pres (lv-tr (the (manager)) (think (that (T-past (lv-tr (D-e (Tom)) (steal (what))))))))),,
WH.whe.non.lg.04,What does the soldier think that Stacey wrote?,(C-mat-wh (T-pres (lv-tr (the (soldier)) (think (that (T-past (lv-tr (D-e (Stacey)) (write (what))))))))),,
WH.whe.non.lg.05,What does the agent think that Aaron bought?,(C-mat-wh (T-pres (lv-tr (the (agent)) (think (that (T-past (lv-tr (D-e (Aaron)) (buy (what))))))))),,
WH.whe.non.lg.06,What does the teacher think that George read?,(C-mat-wh (T-pres (lv-tr (the (teacher)) (think (that (T-past (lv-tr (D-e (George)) (read (what))))))))),,
WH.whe.non.lg.07,What does the girl think that Heather saw?,(C-mat-wh (T-pres (lv-tr (the (girl)) (think (that (T-past (lv-tr (D-e (Heather)) (see (what))))))))),,
WH.whe.non.lg.08,What does the guest think that Casey baked?,(C-mat-wh (T-pres (lv-tr (the (guest)) (think (that (T-past (lv-tr (D-e (Casey)) (bake (what))))))))),,
WH.whe.isl.sh.01,Who wonders whether Paul stole the necklace?,(C-mat-wh (T-pres (lv-tr (who) (wonder (whether (T-past (lv-tr (D-e (Paul)) (steal (the (necklace)))))))))),"wh-movement, whether island, island, short",
WH.whe.isl.sh.02,Who wonders whether Matt chased the bus?,(C-mat-wh (T-pres (lv-tr (who) (wonder (whether (T-past (lv-tr (D-e (Matt)) (chase (the (bus)))))))))),,
WH.whe.isl.sh.03,Who wonders whether Tom sold the television?,(C-mat-wh (T-pres (lv-tr (who) (wonder (whether (T-past (lv-tr (D-e (Tom)) (sell (the (television)))))))))),,
WH.whe.isl.sh.04,Who wonders whether Stacey wrote the letter?,(C-mat-wh (T-pres (lv-tr (who) (wonder (whether (T-past (lv-tr (D-e (Stacey)) (write (the (letter)))))))))),,
WH.whe.isl.sh.05,Who wonders whether Aaron bought the house?,(C-mat-wh (T-pres (lv-tr (who) (wonder (whether (T-past (lv-tr (D-e (Aaron)) (buy (the (house)))))))))),,
WH.whe.isl.sh.06,Who wonders whether George read the book?,(C-mat-wh (T-pres (lv-tr (who) (wonder (whether (T-past (lv-tr (D-e (George)) (read (the (book)))))))))),,
WH.whe.isl.sh.07,Who wonders whether Heather saw the movie?,(C-mat-wh (T-pres (lv-tr (who) (wonder (whether (T-past (lv-tr (D-e (Heather)) (see (the (movie)))))))))),,
